オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
しかもお尻とかが少し映るシーンがあるだけで、モザイク？かけてあるし、そんぐらいよくないですか？読みづらい･･･。"
CMを見て見れるヤツ 広告読み込むの遅すぎ
サーバー サーバーの状態が悪いです
悪くは無い 広告で収入を得るのは勝手だけど、何故か動画を見終わって広告を閉じようと右上に表示される×印を押してもダウンロード画面に飛ばされる。それが何回も。どんだけダウンロードさせたいんだよって思いますね。そして仕方なくアプリを落としてもう一度広告を見ても同じ結果。所詮金のことしか考えてないんだなと思った。
なんで？？ "漫画は面白いから使ってるけどspポイント貰ってもアプリ閉じたら消えてるしおかしくない？
詐欺と一緒のことしてる。そのへんさっさと改善しろ"
恥ずかしいので 音の消せない広告だすのはやめて下さい
広告みて見るやつ "広告がいつまで経っても始まらない
Wi-Fiのせいではない、"
無料と書いてあっても　制約だらけ 制約だらけ
毎晩 "毎晩7時になると同じお知らせが4、5回届く。
1回でいいのにウザいよ"
適当なことすんな。 "SPポイントのため、
広告を見て受け取ろうと思ったら、
なぜか広告を見終わったのにも関わらず
SPポイントが付与されていませんでした。
無駄に広告を見させて受け取るはずの
ポイントを付与しないのは、
どういうつもりなんでしょうか？？"
SPメダルが条件クリアしても反映されない "有料アプリの登録をし条件をクリアしたが、
メダルは貰えず反映されない。
すぐに見たく二分で見れるとか書かれていたので、全く反映されない状況は残念です。
お金無駄にしました。"
通知めちゃくる "毎日 7時と19時に同じ内容の通知が4連続できます。"
スマホが熱くなる "このアプリを使うとスマホが熱くなって勝手に落ちます。電池の消耗も激しい。何が起こってるんでしょう？他のアプリでは起こらないし新しいスマホです。
楽天はよく使うしアプリから購入するとポイントが多く付くので早急に解決してほしい。

あとアプリからだとバグが起こるショップがあります。Safariからだと見れるのに楽天市場アプリからだとショップのトップページから一向に進まない。お店側に問い合わせてもパソコンからは見れるようで解決しませんでした。

このアプリ、エラーが多いです。"
お気に入り関係の不具合 お気に入りを登録するだけでポイントというキャンペーンをしているが、アプリからお気に入りを登録できない（反応しない）
注文確定の最終確認がない ページ更新や情報変更などでページが切り替わった後にスワイプしようとすると誤って注文確定ボタンを押してしまうミスが多発します。悪意があるとしか思えません。しかもふるさと納税だとキャンセルすることができない。最終確認ぐらいするべきだと思います。アプリの改善を希望します。
最後の購入確定でエラーが続く "最後の購入確定でエラーが続く事態が発生
スマホから購入出来なかった"
買い物ができない "買い物カゴに追加しても追加されていないバグが起きていて買い物できません。
修正お願いします。"
商品を購入できない。 カゴについたしましたと出るのに、カゴに入らず、会計に進めない。
うーん 少し使いづらい。購入手続きへスムーズにいかない。操作法か悪いのか？
商品検索しづらい "欲しい商品名を入れても違う商品出てくる。
安い順にしても送料込みだと全然違う順になってる。"
使いにくい "商品を探すのも、在庫の有無の確認も購入手続きも何もかも手間がかかります。
Amazonで買えないものを探す使い方です。"
中身が違う "WEBブラウザの楽天ページだと見つかるのに、楽天アプリになると検索できなくなる商品がある。まだどこかシステムに変なところがあると思う。
仕方なく、ブラウザでカート入れ、アプリで購入、というおかしなやり方をしている。"
クーポンはいつつかえる？ クーポンを使用したくても、注文を決定するの前に出て来なくて使い方がよく解りません。他のショップでは、購入手続きの際にクーポン欄がありますが…。
全体的、動作が重い "初めてレビューします。

楽天の
このアプリをインストールして
3年目ですが、

一向に
アプリの動作が重くて
一つタップするのに
数秒かかるなんてザラです。
利用者としては、ストレスに感じますね。"
煩雑 "Amazonに比べてインターフェイス
割引適用
購入方法
全てが煩雑
全く進化が見られない
検索も精度が低い"
商品はともかく "毎回のメルマガ解除がうざったく、解除しても何かしら届くのでイライラします。本当に気になる時は、自分でログインして確認するのに、非常にお節介。定期的な販促のために致し方ないのでしょうが、注文の度に無駄な操作を要求されるのが腹立たしいです。

もちろん、受信拒否設定やフィルタ設定をつかえばいいのですが、苦手な人にしてみたら、配信停止すらサッパリです。実際、私の親や上司がそうです。
『お金を払っているのに無駄な手間がかかり、手間を省くと不要なサービスが届いてしまう状態』がたまったものではないのです。

ですが、自分がここまで神経質だと気付けたことは、ひとつの収穫でした。
今後のサービスの改善を願います。"
ビンゴ ビンゴ回してマス開けとるのに次開いたら全マス閉じてる
バグ多すぎる メアドは何回やっても変更できないし、バグで何回もすぐ落ちるし、購入履歴には何も残ってないしイライラします。
最近繋がらないのですけど "検索も買い物カゴアクセスも注文もすぐしないとはねられてしまうように。その度にアプリ再起動する状況、それでもダメな時は全くダメ。何がいけないんだろう？時間帯？docomo借りてる楽天モバイルだから？
ちなみに返品交換お問い合わせのメールを長々書いたあと、送信できずに全て消えた時は凹みました。"
迅速な対応 良かった！
インストールし直すも… "ビンゴゲームが起動しない！
なんとかして！！"
お気に入り機能が使えない "お気に入りのマークを押しているのに
お気に入りに追加されません
何度押してもどの商品を押しても駄目です
なんとかして頂きたいです"
何だか 怪しい出品が増えて使いたく無くなって来たね！
使いづらい 検索をして買おうかなと思うと、モバイルになってる？？のかアプリで購入するが出ていてめんどくさい。商品発送のメッセージも届いてからupされるので、意味が無い。
最近、困る事が多い "長年使って、ダイヤモンド会員になってます。
が、最近、データが重くなっているのか、商品説明のページに写真が上がってこなくて困ってます。
また、詳細検索をかけるのに、指定したサイズやカラー等の小ソートがすぐに戻ってしまい、なかなか先に進めません。
改善して欲しいです。"
届かない… "注文してから１ヶ月半経っているにも関わらず届かない、メールはくるもののメーカーからの返答がないなど同じことの繰り返し、、、、
もう少しその場の状況やメーカーへしっかり連絡するべき！もう少し対処してほしい！
そしてシンプルに遅い"
使いにくい "楽天を頻繁に使うのですが、本当に使いにくいです。
特に改善をお願いしたいのは、商品を見ていると左下に表示される「ショップへ相談」のアイコンです。左手でスマホを持ちながら、左手でページをスクロールしようとすると、誤って「ショップへ相談」のアイコンを何度も押してしまい、煩わしいです。なんでこんなところに配置してるんでしょうか…"
うーん… "本当に人が少ない気がする。 大手より値段下げてても♡すら付かなかったり(￣▽￣;)
あと、個人的にこれはちょっとと思ったのはサポート。何件か問い合わせたけど、返ってくるのはガイドを貼り付けたような定型文ばかりで、全然頼りにならなかったです。

追記

↑の問い合わせの件、半年以上経った今も解決してません。話し合いにならず放置状態ですw
規約違反の出品に対しても全く対応してくれず…(´･ω･｀)

私だけじゃなくレビューのあちこちで書かれているので、いい加減サポート体制をどうにかして欲しいです。 

せっかく手数料が安い利点あるのに、いくら広告うっても今のままだと固定客つかないですよ(´･ω･`;)

まともな方もそれなりに居るのに、トラブルだったり理由も分からずアカ凍結で売り上げとられるとか、何かあった時が怖くて使用をためらうレベルです。"
ラクマからのお知らせが非常にうるさい "ラクマからのお知らせが多すぎて最悪です。
商品が売れた・いいねがついた等の通知の紛れて1日4〜6ほど超どうでもいいメルマガ並みのお知らせを受信させられます。
これさえ改善されれば本当に良いフリマアプリだと思います。"
クーポン期間が短すぎる 1日限定クーポン、せめて3日くらいにしてもらいたいです。
広告表示が多すぎ "アプリを開くとまず最初にお知らせ表示がバーンと出ます。
めちゃくちゃウザいですね。
いちいち閉じる✖️をしないといけないのがイライラします。
せめてお知らせに通知でよくないですか？

売り上げが楽天で使えるのは重宝します。
が、上記の旨がどうしてもイライラするので☆-3です。"
問い合わせしたのに 問い合わせメールしたのにいっさい返信なし
お知らせ多すぎて苛々する "手数料安いですし売り手としてはいいのですが
毎回アプリを開くたびに「読み込めませんでした」
ってゆうポップが出たり
運営からのお知らせポップが出たり
毎回ほんとに消すのが億劫です。
周りの利用者も同じことを言っています。
ネットにも消したいとゆう声多数。"
クレジット払いが "他社のアプリと異なり、クレジット払いの時はカード番号やパスワードを全て入力しなくては払えません。
セキュリティの面では安心ですが、面倒でなりません。また、パスワードが分からなくなり、わからなくなった時ように再登録が出来るが、購入の度間違えて再登録もできずに別の支払い方法でプラス100円かかりました。
もう少し簡単にしていただきたい。"
システムの便利さをもう一工夫 "購入申請という面倒臭いルールがあり、変わり者の出品者が設定している場合が多く、なかなか返答が来ないでルーズな取り引きになる。PAY PAYフリマに比べてクーポンが出るインターバルが長く内容がショボイ（3%割引きなど野暮）。出品数がヤフオクに比べると少ないのでヤフオク、 PAY PAYフリマ、ラクマ、メルカリの4ヶ所で使いこなす事をオススメします。"
詐欺を放置 直接取引を持ちかけTwitterに誘導し、先評価を条件に購入させ、品物は送らずにアカウントを消す。そうした手口で稼いでる輩が多いです。何回運営に報告しても対応が遅いです。コメント欄にエラーワード設定とかしないのかと。まともな人は引っかからないとは思いますが評価ゼロで人気商品を多数出品しているアカウントにはご注意を。
やはりメルカリとの比較になりますが.. "アプリを開いた時にほぼ毎回
クーポンなどの画面が出て
いちいち×の印を押さないといけないのが
本当にめんどくさいです。
月一くらいのたまにだとまだ良いですけどね.."
購入ボタンがわからない すぐに即購入可能なのに、購入ボタンが見つからない。　毎回イライラする。　そのうち見つかると思うけれど、すぐわかるようにしてほしい。
画質悪い？ "突然出品する際の画質が悪くなって困っています。
今までそんなことなかったのですが..."
定価よりたいのって　ラックマ　ちょっと怖いですね。 "アイリスオーヤマ RNS-300-W リンサークリーナー"
なんとも言えない 本人確認の認証までの日数及び振込申請をしてからの対応などが遅いかと思います。
ブロックリスト "どこで見れるんですか？
前は見れたのに見方が全くわからない"
手数料◎、チェック・コンプライアンス×、ブランド▲ "手数料の低さはメリットだが、利用者がある程度増えたら10%にするのが見え見え。
逮捕されてもおかしくない犯罪となる出品者が散見されるが、チェックしていない。ある意味メリットではある。
興味ないラクマ公式スマホショップの通知がうざい。通知オフにできないキモさ。
ポイント反映が遅すぎる。楽天キャッシュと楽天ポイントを統一して欲しい。
シンプルな仕組みを作れず、詐欺みたいな構造を作るから極度に嫌われる。そしてセンスが悪い。
ユーザーが全然増えない。山崎賢人みたいな中途半端なタレント使って無駄な広告費を使わず、世代別に影響力や人気ある人に私物出品させた方がユーザー激増すると思う。キャンペーン下手すぎる。"
通知 広告関連含めてラクマからのお知らせはオフにしてるのに、他の値下げやメッセージの通知は来ないのに、広告はしっかり通知くるのどうにかならないの？
商品説明のテンプレートについて "メルカリやPayPayフリマのように、商品説明にテンプレートがあるととても便利なのですが…
メルカリに慣れているので、出品しようとしても１から説明文を入力するのがとても面倒です。

そして、レビューを送信しようとするも、ニックネームはすでに使われてるとか意味不明なシステム…
いろんな単語をいれてもダメ。
送信されたくないのか。"
通知がウザイ "取引関連だけの通知をオンにしていますが、キャンペーンなどの通知も来ます。
しかし設定には最新情報のトグルしかなく、消せません。
頻繁に通知が来るのでうんざりしています。"
メリットは低い手数料だけ "アプリ自体は不具合実績なく問題ないです。
　ただ、他オークションサイトとの比較でかつ個人的見解ですが、メリットは低い手数料だけだとおもいます。
　残念ながら、それ以外はデメリットばかりで、最も酷いのが偽物ブランド品の出品です。物凄い種類と数の偽物が出品されています。恐ろしいのが、それを取り締まってないのか？平然と売られ続けており、また、それを購入している人が沢山いる事。これだけ沢山の偽物が出品されており、変な日本語が飛び交っているのはラクマ だけだとおもいます。
　価格メリットのある出品が有りますので、全てダメとは言いませんが、購入される方は、慎重に品定めした方が良いと思います。"
使いやすい。 操作が簡単なので、お取引がスムーズに出来ます。出品作業も時間がかからず楽です。
詐欺が増えている メルカリなどの写真を転用し、またメルカリなどの価格の半分ほどで出品しているという詐欺が増えている。どうにか出来ないのだろうか。
テンプレート機能が欲しい "他のフリマアプリのように出品時の商品説明のところにテンプレートの機能が欲しいです

宜しくお願い致します"
接続できない時が多すぎる！ ラクマ自体の利用状況は、出品手数料も安く、売り上げの方もそのまま放置しない限り無効になったりしないので満足はしていますが、ラクマアプリの接続できない状態が多いことに不満を感じます。定期的にアップデートされているにもかかわらず、そこの部分は改善されていないのはどうしてでしょか？改善を強く希望します。
ラクマパックの縛りが多すぎる ラクマパックを利用したい時の価格設定がおかしい。高く売らないとラクマパックが使えないから売れない。わかりにくい。
配送方法がありすぎて迷う "匿名配送希望であれば、二択、郵便局かヤマトさん。
それで選べば良いと思うと、販売価格で、サイズの指定がある。
その表記が薄い文字で小さい。
可能な販売金額ではなく、不可能の販売金額を明記して欲しかった。"
ちょっと… "困った時に全然対応してくれなかったです…
残念でした"
相手方に問題あり "スムーズに取引、終始丁寧に対応しても
難癖つける人が多々あり。
素人間取引なのだから、気に入らないなら
店舗で買えば良いと思うので
出品は一切やめました。"
品揃えは良い！！ "自分勝手な出品者がたまに居ます。
商品を気持ちよく売るのではなく、
返信がないとか感情的に悪い評価を付ける出品者が居ます。それでは届いた商品に傷がつきます。
きちんと、そこまで考えてる良い出品者は要望が少ない気がします。
たまたま変な人に当たってしまったのかもですが。
残念でした。"
偽ブランド "とにかく偽ブランドが堂々と販売されています。プロフィール欄にLINE IDが記載されていて、ラクマでは禁止されているはずの直接取引への勧誘や、商品説明文には日本では使われていない不思議な漢字が使用され、断捨離で出品したという割には、複数の商品すべてが新品・未使用の偽ブランド品のみ。購入する人がいるから出品するのだと思いますが、運営も購入者も、犯罪に加担していると自覚した方がいいと思います。
まじめにルールを守って利用しているユーザーからしたら非常に気分が悪いです。"
出品し辛い "楽天ポイントが使えてとても便利なんですが、写真を４枚しか載せれず商品の状態を伝え辛く、出品し辛いです。
私は出品より買う専門で、商品の数も某サイトより少ないです。
手数料は少ないので本当はこちらをメインで使いたいんですがね。
出品し辛く売れにくいです。"
メルカリのほうが良い "メルカリの出品手数料が割高に感じラクマを初めてみましたが、メルカリのほうが全体的に良いです。

ラクマの気になる点:
・カード決済時に毎回パスワード入力の手間
・不要な広告通知が多い。お知らせが赤く点灯するのが鬱陶しい。
・一つの商品画像が大きいため、一度に見られる商品が少ない。何列表示にするかを選択できるようにしてほしい
・出品時に写真が4枚しか載せられない
・クーポンの有効期限が短い
・ユーザー数が少ないため出品物が売れない
・「すぐ購入可」と記載ある商品でも、こちらの取引数が少ないなど、見えない条件設定をされている場合購入ができない(初めてはじかれると差別されたような嫌な気持ちになる)"
発送通知の場所が悪い "よく利用していますが、ラクマパックで配送する際QRコードのすぐ下に発送通知がある為、画面が暗くる時に間違って触ってしまってQRコードで印刷していないのに発送された事になり、ラクマパックで署名配送になっているのに取引相手の方に連絡先を聞かないといけないはめになりました。
調べたら、いろんな方がこのような状況になっています。
発送通知の場所、変えた方がいいです。"
つながらなーい！ "コードでポイント貰えます♡→k9w1j

アプデしてもスマホを再起動してもWiFiでも通常回線でも
つながりません
なんで？
取引中だから困るんですが…"
もう少し頑張ってください。 "匿名取引がゆうパックしか出来ない
ヤマト便でも匿名出来る様にしてほしい

ゆうパックとクロネコのコンパクトパックの起用をすぐにでも取り入れると良い

出品するにあたって、配送方法は死活問題ですので"
ラクマパック ゆうパケットプラスが　欲しい
偽物ばっかり ブランド品は偽物ばかりで、しかも、そういったアカウントは評価がゼロなので気をつけた方がいいです。
ラクマが提示する売れ筋価格 "過去の売れ筋価格をラクマが算出して提示してくるが、同じ商品を同じ日に編集するだけでコロコロ変わり全く参考にならない。これを元に値付けをすると大損する可能性があると思った。
どういう根拠でこのような表示されるのか知りたい。"
購入者も出品者も、難しいです。 "先ず、『メルカリ,minne』の方が、圧倒的に、｢購入還元が高い！｣  なので、出品しても、売れ難いから...ユーザー様の8割は、｢メルカリと、同時のご出品｣か...｢○○のサイトにも出品してて、しかもそちらの方がお安く出来るので...そのサイトで、購入して頂けませんか？｣とのやり取りが非常に多い!!

運営側のサポートも、手薄でトラブルがあっても、｢自動送信メール｣しかないです。

正直、フリル迄の還元率も無いので、お勧め出来ません。"
手数料は○ "ネット販売にとって画像の情報は重要ですので商品画像をもう少し多く載せれる方がいいですね。

あとは売上金を確認する方法が分かりにくいです。
商品検索の際も戻るをわざわざクリックしないと戻れないとか使い勝手が非常に悪いです。

手数料でお得なラクマがメルカリに勝てないのは後追いしてるだけだからでしょう。

携帯会社に参入したのも料金が安い事を売りにしてるだけで全くクリエイティブな発想がなく安かったら売れるって考えだけで運営してる頭の固い人達しかいない無能な会議が昔ながらに延々と行われてるんでしょう。グローバル化を狙いに会議全てを英語にすると公言しても無能な会議でイノベーションを起こす事は不可避です。

という事で手数料が安いという誰でも考える事が出来る内容に星を1つプラスして星2つです。"
チェックインできる店が少な過ぎる 近所ではローソンぐらいしかない。
グッド！ ポイント稼ぎが楽しい
反応 チェックで反応しない店舗がある
ポイントが少ない "チェックポイントに行っても
当たっても1ポイント
もっと高ポイントが
貯まるならと
思います。"
イマイチよく分からず ローソンばかり出るがが、初めて行ったローソンでポイント付けようと思っても反映され無い。やり方が悪いのか？
読み込まない時があって ちょい面倒なのと、レビューしろしろのお知らせが30分毎にきてうんざり…
残念 "以前チェックインできたダイエーやロピア など、どんどん対象外になり、最近は全く使ってません"
iphone11proで感度が悪い DocomoのMVNOにてSO-04Jで使っていた時は問題なくチェックイン出来ていた場所で、Y!mobileのiphone11proで使うとチェックイン出来ない。iOSアプリの性能が悪いのでしょうか？
思ってたより "チェックイン出来るお店が少な過ぎる
思ってたよりポイント貯めれない。"
郊外住みに不親切なアプリ いつもチェックイン利用してるお店がどんどん無くなってる(T_T)近場だと、地図で見てもローソンしか無い（汗）コンビニは月１くらいしか行かないからなぁ⤵利用しづらくなりました(T_T)
店舗を増やすのはもちろん必要ですが… "オギノとマツキヨが近くにあるのですが、地図には「チェックインできるよー」のマークが出ません。
公園に関しては、もっと表示がされておらず、よく使う市内の大きな公園は入ってないんですよね…ひょっとして「公園」の名称が使われてないとダメなんでしょうか？（〇〇パーク表記の場所です）だとしたらとても残念です。"
公園のチェックがなくなる "先日アプリを使い始めて、福岡市の端っこはほぼローソンしか使えないことがわかった。
近くにローソンが一軒。出かける方向、会社の方向とは逆。
ローソンは行かないけど、公園なら犬の散歩にちょうどよく、これから使えるなぁって思っていたら、公園チェックがなくなる。
公園チェック終了時点でアプリ消去です。"
場所によって公園の位置が凄くずれてます "現場確認したけど公園なんか全く無く住宅街ってのが多々あります。Google mapみて確認しても、最初からアプリ内に表示されるポイントが違ってます。修正お願いします。

住宅街で怪しそうに人がウロウロしてたら訴えられるかも。
■凄くずれてる公園
小和田浜公園
茅ヶ崎公園
湘南夢わくわく公園
■すこーしずれてる公園
相模川河畔スポーツ公園"
要望 ポイントは獲得できるが、期間限定ポイントがないはずなのに、月に何度かポイントか所在不明になることがあるので改善が必要と思う。
一々表示が出るのを消す機能が欲しい。 "設定開いてもないんだけど。
画面表示がいくつも出ていて、鬱陶しいです。"
そこそこ "ポイントが無料で貰えるのは嬉しい。
時間帯で配布される枚数限定チケットは、数秒で完売するので労力の無駄です。"
ブックスタマで使えなかった 24時間以上間空けたのにチェックイン出来ませんでした…何でかな？
チケットが貰えない 時間ぴったりに起動したり、再読み込みしても次回配布になります。時間を確認して待っている身としては切ないです。地方だからでしょうか？
どこにポイント付くのかわからない 操作性はあまり良くない
bluetoothが切れます "音楽をbluetooth で聴きながら使うと、bluetooth が切れて、音楽がiphone から流れてしまいます。仕様を変えて欲しいです。"
bluetoothが切れます "音楽をbluetooth で聴きながら使うと、bluetooth が切れて、音楽がiphone から流れてしまいます。仕様を変えて欲しいです。"
チケット "チェックインしてポイントを稼げるのは良いとして、30分ごとのチケット配布、時間ちょうどに開いて取れた試しなし。
早いもん勝ちか何か知らんが、手に入らないチケットなら配布するな。"
古い機種だから？ アップデートしたらチェック出来なくなった。残念。
チケット "チケットが全然もらえません。
それと、はるやまはチェックインのお店から外れたのでしょうか？"
地方も数を増やして 地方でもローソンとかマクドナルドやってほしい
位置が チェックインの場所にいるのに、位置がズレていてチェックインできないことが多い。
寂しい "楽天ポイントもらえるところが少なすぎる
都会ではすぐ近くにポイントをもらえるところがある。
田舎では数キロ先になり、コンビニでも10数キロ先のサークルkサンクスがあるだけ(´༎ຶོρ༎ຶོ`)。その上楽天ポイントもらえなくなり、なかなかポイントが貯まりにくくなっている。"
新しいバージョン使い難くなった "位置はなかなか正確に出て来ないし
使い難くしてどうする！"
使えない！ "29.5/28
楽天チェックをしようとしたら、アプリをアップデートしてくださいって出たので
アップデートしたら、使えませんでした。
お店の人に聞いても、電源が入っているから、こちらの事情じゃないです、と言われました。
誰に聞くことも出来ず、やっぱりポイントが付かないんですね…
もう少し使い易くしてもらいたいです。"
使えない "地方都市在住です。
スポット少なすぎ。
使えません。
位置情報は、アプリ起動中に限定できそうなので、問題ないかな？"
応募できん 困った…
なんのアイコンバッヂ でしょうか？
店舗 "引き続き、店舗数、エリアをもっと増やして欲しい。

ポイント自体は少量でもいいから、地方でも多種多様な業態の店でポイントが貰えるようにしていただきたい。

地方だと、今はコンビニくらいなので…。"
謎アプリ 未だに何のバッジアイコンか分からない。
アップデートしなければ良かった "ずっと愛用していましたが、アップデートしてからすっごく使いづらくなりました。
特にマップモード。近隣のお店がまとまる表示は本当に見にくいのでやめてほしい。改善を望みます。
メッセージの表示も分かりづらいです。
元のバージョンに戻したい！"
前のが 良かったな。なんかダサい表示になった。後で履歴が見づらいし、どこからのお知らせかタップしないと解除できないし…
最近… SoftBankの4G回線で接続出来ないので、早急に対処を願います…近所のロピアで先週は10pt獲得出来ずに今に至っています…(･･;)
ちょっと残念 "都会は、色々とポイントを付ける場所や利用出来る店舗があるけど
田舎は、ポイントを付けれる場所や利用出来る店舗がないので、残念。"
右上のバッチが消えません 右上のバッチが消えません。迅速な対応をお願いします。
見辛い "前みたいに店舗名が近い順にタイル状に表示されている方が見やすかったです。
これはとっても見辛い。
しかもおおよそ行けないエリアの店まで出てきて何これ感がします。"
店舗数が少ない "CNII9349 こちらのポイントで双方にポイント入ります。

チェックインは楽ですが店舗数が少ないのであまりたまりません"
設定しているのに "「メッセージ通知」を「OFF」にしているのに
毎回送られて来ます。"
チェックイン出来ない 同じ店に、22日18時・23日12時にチェックインするが、23日分は出来ない。履歴の最終は22日だ。このようなことが何度かあった。こんなことなら他店で買い物すればよかった。それから、同日午前午後2回利用してもチェックインできない。
起動出来ない 昨日からアプリがずっと待機中で起動出来ないんですけど…
ログイン不具合、修正しきれていません 今バージョンで修正されたと謳われている、ログイン画面が頻繁に出現する不具合ですが、残念ながら修正しきれていません。SMS認証までは要求されなくなったのでマシにはなりましたが、依然大きな不具合が残っているのは事実です。
めんどくさい 常に位置情報を求められるようになった。バックグラウンド中やアプリ終了中はいらん⬛︎ios7が使えなくなって残念
地方住みには全く活用できません… "コンビニ位はチェックイン出来るかと思ってインストールしたら、自分の県では数えるほどしかチェックインできなく、しかも一番近い所で車で50分…
これでは全く活用できません。
地方住みの方はこれではアプリ入れる意味が無いです。悲しい！"
チェック出来ません 時々あったのですがここ数日は特にサークルkでチェックポイントが出来ません。きちんと支店名確認しチェックを押してもいつまでたっても確認中状態で終わらずポイントが取れません。三軒行きましたが全部同じよう取れませんでした（−＿−；）労力を返してくれ。
アップデートできない！ 私もアップデートできません。楽天チェック利用してますが、結構不具合多いですね。使ってるので頑張ってください！
iPadでの表示がおかしい iPadでバーコードの表示やポイントの表示がずれてまともに表示されない。
ポイントはお金お客様私のもの借りたお金じゃありませんお客様がいて成り立つお仕事　疑う管理の人お調べください ポイント
アプリについて 「ホーム」がないのが、非常に不便
バーコードの位置がずれて表示されて使えない "iPad mini の自分の環境だとタイトルの不具合でバーコードを店舗で読み込んで貰えない"
マネーブリッジのポイントについて マネーブリッジなどでもらえる可能性のあるエントリーしたポイントがどのようなときにもらえるのかがわかりにくい。
アップルウォッチで使えるようにして欲しい マスクしていると顔認証しないので一々スマホを出すのが面倒なので
レビューを書くの数字が消えない アプリの右上の数字がどんどん増えるんです。
カード登録 アプリでポイントの利用登録が何度やっても出来ないです。
楽天Edyも提携して欲しい クロネコヤマトの楽天Edyを持っていますが、このアプリではバーコードでの登録関連ばかりで楽天が発行しているカードは一部しか連携出来ないのはとてももどかしいです。楽天Edy残高確認のアプリよりもこのアプリに入れられる様にして欲しいものです。めんどくさいのでカードが嵩張るだけなので纏めたいです。
たまってこないんだけど "ファミペイ連携キャンペーンで初めて登録したんだけど。
ポイントたまってくる気配ない。
反映が遅いのかもしれんけど。
いつ、なんで付いたポイントなんか見たいけど、調べるまでややこしすぎる。

やっぱ1番たまっていく率が高いのはTポイントやね。
あっと言う間に増えとる。
キャンペーンが終わったらまたTポイント連動に戻す。"
まだまだ、あかん ガソリンスタンドなどポイントカードしかダメ、アプリは使えない
それなり 貰えるポイントは大手の所から比べるとずっと少ないが、いつの間にか溜まってるので小銭を出したくない時に案外役立つ。…が、とにかくポイントは少ないなぁ。
ポイントについて ガソリンカードとスマホアプリとポイントは、まとまっているのですか？出光とスマホアプリと有ります。
頑張れ "使い方がよくわからない。
お店で聞くも、店のスタッフが理解していない。"
ポイント実績すごく見辛くなった "ポイント実績で獲得履歴の表示が変更され、
一段あたりが大きすぎるのでたくさんスクロールしないと１日分すら見るのが大変だし、
どこからどこまでが１日分なのかもわかりにくく
すごくすごーーーーーーーく見にくいです！！
前のようにパッと全容を把握できるように戻してほしい。
どれだけ貯まったのか楽しかったのに
画面が煩わしくて見にくくて、今日どれだけ貯まったのかもちっとも把握できません。楽しくないです！"
面倒くさい。 "ログインしようとしたら、アドレスとパスワードをちゃんと入れてるはずなのにアドレスか、パスワードが違いますって事が何回もあります。何回もパスワード変更してて、これで行けると思っても駄目みたいで、
何とかしてもらえませんか？パスワードがいつも考えてやってるので、考えるのが面倒くさいので、改善するようにお願いします。"
アイコン アイコン多すぎて何が何だかわからない
ポイントと通販サイトが一緒の方が使いやすい アプリの量が増えて面倒
PCで 楽天のみPCで買い物等メールが見れないのは何故？他社は問題無く回覧出来るのに。
電波悪くない！ 電波状態の良いところで、と出て、更新が出来ません。電波障害のせいにすりアプリは楽天ポイントアプリだけで、他のアプリは今も普通に電波障害なしで使えてます。お店でアプリのカードを読み込んでもらったら、レジが止まり、お店に迷惑がかかりました。早急に対処いただきたいです。
エントリーについて エントリーせずに買い物したり申し込みすると　ポイントの対象外になってしまうので　キャンペーンは　すべて　エントリー不要にして欲しいです。
別に "あってもなくてもいいアプリ。
せめてポイント失効前に通知してくれる機能を追加してほしい。
楽天本位の通知機能なんか必要ない。"
ポイントについて もっともっと、利用者側になってください。
キャンペーン "タップするといちいちsafariを立ち上げることに
わざわざアプリ化の意味とは…"
よかよ うまか
せっかく… 財布がカードでパンパンになったので、アプリで対応できるポイントカードはすべてアプリに。ところが楽天は、いざ使おうと思うと、再ログインを促され、挙げ句、しばらく表示されないとの文面。仕方なくポイントを捨てました。何のためのアプリ？？？
動きが悪くてストレスが… "とにかく動きが悪くて、すぐにフリーズします。
見たいのに見れないストレスで、結局ブラウザで見る羽目に。
サクサク動けば機能的には問題ないので、そこだけ。
すごくもったいない。"
広告が… "広告が多すぎて見るのがめんどうになってしまいました。
以前はそんなことなかったのにな…"
さいきん 広告が多すぎてレシピを調べる気になりません。検索している間にもポコポコと広告が入ってきて
広告が煩くなった "前画面の広告が2つ、3つと出てきて煩く、非常に使いにくくなった。
夕方や食事時の忙しい時だからこそ使うアプリなのに、忙しい最中に広告を幾つも消さなくては使えないとなると価値がないかな。
以前は全く無かっただけにイライラします。

EC部門以外のコロナ不況で広告費稼がなきゃいけないのは分かりますが、他の方法ないんですか？
この分野の貴重な日本企業なので、もっと頑張って欲しいです。"
どこかのアプデしてから アプリが重すぎる、無料で利用できるから広告は仕方ないと思うけどそのせいなのかどこかのアプデのタイミングから異常に重たくなった。使いづらい。
最近 "キャンペーンの案内？みたいなのが頻繁に表示されるのに困っています。アプリ開いた時点のみの表示でいいと思います。
せめて同じ内容のキャンペーンなら今後は表示しない等のチェック欄必要じゃないですか？キャンセルしようにも×の反応が悪いし(数回タップしないと消えてくれない)
料理検索、献立など見やすくいつもお世話になっていたのに残念すぎます。
私と同じ方少ないとは思いますが、少ない意見にも少なからず対応お願いします。"
重い すごく便利に使っていたのですが、最近動作が重くまともに使えなくなりました。
